Pedido,Data pedido,Fornecedor,Data prevista,Data entregue,Status da Entrega,Pontualidade,Dias_para_Entrega,Dias_previsto,Predição_dias_para_Entrega,Predição_data_de_entrega
70,2025-02-26,MJA,2025-04-28,2025-04-27,Entregue,Dentro do prazo,60.0,61,,
71,2025-02-26,ACDMH,2025-04-28,2025-04-27,Entregue,Dentro do prazo,60.0,61,,
72,2025-02-26,VC,2025-04-30,2025-05-29,Entregue,Fora do Prazo,92.0,63,,
76,2025-02-26,DLCA,2025-04-30,2025-05-29,Entregue,Fora do Prazo,92.0,63,,
80,2025-02-26,CDMICT,2025-04-30,2025-05-29,Entregue,Fora do Prazo,92.0,63,,
81,2025-02-26,SWA,2025-04-30,2025-05-29,Entregue,Fora do Prazo,92.0,63,,
82,2025-02-26,JPM,2025-04-30,2025-05-29,Entregue,Fora do Prazo,92.0,63,,
83,2025-02-26,CM,2025-04-30,2025-05-29,Entregue,Fora do Prazo,92.0,63,,
87,2025-02-26,CM,2025-04-30,2025-05-29,Entregue,Fora do Prazo,92.0,63,,
91,2025-02-26,EMSPPA,2025-04-30,2025-05-29,Entregue,Fora do Prazo,92.0,63,,
92,2025-02-26,SGB,2025-04-30,2025-05-29,Entregue,Fora do Prazo,92.0,63,,
96,2025-02-26,CIDB,2025-04-30,2025-05-29,Entregue,Fora do Prazo,92.0,63,,
100,2025-02-26,MRFC,2025-04-30,2025-05-29,Entregue,Fora do Prazo,92.0,63,,
101,2025-02-26,RCSS,2025-04-30,2025-05-29,Entregue,Fora do Prazo,92.0,63,,
105,2025-02-26,SRPA,2025-04-30,2025-05-29,Entregue,Fora do Prazo,92.0,63,,
109,2025-02-26,ALRT,2025-04-30,2025-05-29,Entregue,Fora do Prazo,92.0,63,,
113,2025-02-27,RCM,2025-03-10,2025-03-31,Entregue,Fora do Prazo,32.0,11,,
114,2025-02-27,SWA2,2025-03-14,2025-04-07,Entregue,Fora do Prazo,39.0,15,,
115,2025-02-27,HHC,2025-02-28,2025-04-10,Entregue,Fora do Prazo,42.0,1,,
116,2025-02-27,CHNS,2025-02-28,2025-04-10,Entregue,Fora do Prazo,42.0,1,,
117,2025-02-27,CHNS,2025-02-28,2025-04-10,Entregue,Fora do Prazo,42.0,1,,
118,2025-02-27,EST,2025-02-28,2025-04-10,Entregue,Fora do Prazo,42.0,1,,
119,2025-02-27,EST,2025-02-28,2025-04-10,Entregue,Fora do Prazo,42.0,1,,
120,2025-02-27,EST,2025-02-28,2025-04-10,Entregue,Fora do Prazo,42.0,1,,
121,2025-02-27,EST,2025-02-28,2025-04-10,Entregue,Fora do Prazo,42.0,1,,
122,2025-02-27,VCZ,2025-02-28,2025-04-10,Entregue,Fora do Prazo,42.0,1,,
123,2025-02-27,MOLE,2025-02-28,2025-04-10,Entregue,Fora do Prazo,42.0,1,,
124,2025-02-27,VC,2025-02-28,2025-04-10,Entregue,Fora do Prazo,42.0,1,,
125,2025-02-27,HMC,2025-02-28,2025-04-10,Entregue,Fora do Prazo,42.0,1,,
126,2025-02-27,HMC,2025-02-28,2025-04-10,Entregue,Fora do Prazo,42.0,1,,
127,2025-02-27,HMC,2025-02-28,2025-04-10,Entregue,Fora do Prazo,42.0,1,,
128,2025-02-27,HMC,2025-02-28,2025-04-10,Entregue,Fora do Prazo,42.0,1,,
129,2025-02-27,HMC,2025-02-28,2025-04-10,Entregue,Fora do Prazo,42.0,1,,
130,2025-02-27,HMC,2025-02-28,2025-04-10,Entregue,Fora do Prazo,42.0,1,,
131,2025-02-28,HMC,2025-03-03,2025-04-02,Entregue,Fora do Prazo,33.0,3,,
132,2025-02-28,HMC,2025-03-03,2025-03-31,Entregue,Fora do Prazo,31.0,3,,
133,2025-02-28,HMC,2025-02-28,2025-03-31,Entregue,Fora do Prazo,31.0,0,,
134,2025-02-28,HMC,2025-03-03,2025-03-31,Entregue,Fora do Prazo,31.0,3,,
135,2025-02-28,MCA,2025-03-11,2025-04-17,Entregue,Fora do Prazo,48.0,11,,
136,2025-02-28,MCA,2025-03-11,2025-04-11,Entregue,Fora do Prazo,42.0,11,,
137,2025-02-28,MCA,2025-03-11,2025-04-17,Entregue,Fora do Prazo,48.0,11,,
138,2025-02-28,DLCA,2025-03-11,2025-04-17,Entregue,Fora do Prazo,48.0,11,,
139,2025-02-28,BIP,2025-03-11,2025-04-17,Entregue,Fora do Prazo,48.0,11,,
140,2025-02-28,BM,2025-03-11,2025-04-17,Entregue,Fora do Prazo,48.0,11,,
141,2025-02-28,BM,2025-03-11,2025-04-17,Entregue,Fora do Prazo,48.0,11,,
142,2025-02-28,KTCN,2025-03-11,2025-04-17,Entregue,Fora do Prazo,48.0,11,,
143,2025-02-28,KTCN,2025-03-11,2025-04-17,Entregue,Fora do Prazo,48.0,11,,
144,2025-02-28,CHNS,2025-03-11,2025-04-17,Entregue,Fora do Prazo,48.0,11,,
145,2025-02-28,RPCT,2025-03-11,2025-04-17,Entregue,Fora do Prazo,48.0,11,,
146,2025-02-28,RPCT,2025-03-11,2025-04-17,Entregue,Fora do Prazo,48.0,11,,
147,2025-02-28,RPCT,2025-03-11,2025-04-17,Entregue,Fora do Prazo,48.0,11,,
148,2025-02-28,RPCT,2025-03-11,2025-05-06,Entregue,Fora do Prazo,67.0,11,,
149,2025-02-28,RPCT,2025-03-11,2025-04-17,Entregue,Fora do Prazo,48.0,11,,
150,2025-02-28,RPCT,2025-03-17,2025-04-11,Entregue,Fora do Prazo,42.0,17,,
151,2025-02-28,AFE,2025-03-17,2025-04-11,Entregue,Fora do Prazo,42.0,17,,
152,2025-02-28,MJA,2025-03-17,2025-04-11,Entregue,Fora do Prazo,42.0,17,,
153,2025-02-28,MJA,2025-03-17,2025-04-11,Entregue,Fora do Prazo,42.0,17,,
154,2025-02-28,MJA,2025-03-17,2025-04-11,Entregue,Fora do Prazo,42.0,17,,
155,2025-02-28,MJA,2025-03-17,2025-04-11,Entregue,Fora do Prazo,42.0,17,,
156,2025-02-28,PB,2025-03-17,2025-04-11,Entregue,Fora do Prazo,42.0,17,,
157,2025-02-28,PB,2025-03-17,2025-04-11,Entregue,Fora do Prazo,42.0,17,,
158,2025-02-28,MOLE,2025-03-17,2025-04-11,Entregue,Fora do Prazo,42.0,17,,
159,2025-02-28,RAGS,2025-03-17,2025-04-11,Entregue,Fora do Prazo,42.0,17,,
160,2025-02-28,PB,2025-03-17,2025-04-11,Entregue,Fora do Prazo,42.0,17,,
162,2025-02-28,MR,2025-03-17,2025-04-11,Entregue,Fora do Prazo,42.0,17,,
163,2025-02-28,MR,2025-03-17,2025-04-11,Entregue,Fora do Prazo,42.0,17,,
164,2025-02-28,MR,2025-03-17,2025-04-11,Entregue,Fora do Prazo,42.0,17,,
165,2025-02-28,SGB,2025-03-17,2025-04-11,Entregue,Fora do Prazo,42.0,17,,
166,2025-02-28,SRPA,2025-03-17,2025-04-11,Entregue,Fora do Prazo,42.0,17,,
167,2025-03-03,SRPA,2025-03-17,2025-04-02,Entregue,Fora do Prazo,30.0,14,,
168,2025-03-03,SRPA,2025-03-17,2025-04-07,Entregue,Fora do Prazo,35.0,14,,
169,2025-03-03,SRPA,2025-03-05,2025-03-05,Entregue,Dentro do prazo,2.0,2,,
170,2025-03-03,MCA,2025-03-05,2025-03-14,Entregue,Fora do Prazo,11.0,2,,
171,2025-03-03,SRPA,2025-03-05,2025-03-05,Entregue,Dentro do prazo,2.0,2,,
172,2025-03-06,SRPA,2025-03-14,2025-03-14,Entregue,Dentro do prazo,8.0,8,,
173,2025-03-06,SRPA,2025-03-06,2025-03-31,Entregue,Fora do Prazo,25.0,0,,
174,2025-03-06,JMCT,2025-03-06,2025-03-31,Entregue,Fora do Prazo,25.0,0,,
175,2025-03-06,WCI,2025-03-06,2025-05-02,Entregue,Fora do Prazo,57.0,0,,
176,2025-03-06,WCI,2025-03-06,2025-05-02,Entregue,Fora do Prazo,57.0,0,,
177,2025-03-06,WCI,2025-03-06,2025-05-02,Entregue,Fora do Prazo,57.0,0,,
178,2025-03-07,WCI,2025-03-28,2025-04-11,Entregue,Fora do Prazo,35.0,21,,
179,2025-03-07,VCZ,2025-03-28,2025-04-11,Entregue,Fora do Prazo,35.0,21,,
180,2025-03-07,DCD,2025-03-28,2025-04-11,Entregue,Fora do Prazo,35.0,21,,
181,2025-03-07,VC,2025-03-28,2025-04-11,Entregue,Fora do Prazo,35.0,21,,
182,2025-03-07,VTA,2025-03-28,2025-04-11,Entregue,Fora do Prazo,35.0,21,,
183,2025-03-07,VC,2025-03-28,2025-04-11,Entregue,Fora do Prazo,35.0,21,,
184,2025-03-07,MJA,2025-03-28,2025-04-11,Entregue,Fora do Prazo,35.0,21,,
185,2025-03-07,MJA,2025-03-28,2025-04-11,Entregue,Fora do Prazo,35.0,21,,
186,2025-03-07,SVGM,2025-03-28,2025-04-11,Entregue,Fora do Prazo,35.0,21,,
187,2025-03-07,SVGM,2025-03-28,2025-04-11,Entregue,Fora do Prazo,35.0,21,,
188,2025-03-07,SVGM,2025-03-28,2025-04-11,Entregue,Fora do Prazo,35.0,21,,
189,2025-03-07,LNCE,2025-03-28,2025-04-11,Entregue,Fora do Prazo,35.0,21,,
190,2025-03-07,PMIC,2025-03-28,2025-04-11,Entregue,Fora do Prazo,35.0,21,,
191,2025-03-07,MJA,2025-03-28,2025-04-11,Entregue,Fora do Prazo,35.0,21,,
192,2025-03-07,PMIC,2025-03-28,2025-04-11,Entregue,Fora do Prazo,35.0,21,,
193,2025-03-07,RCO SME,2025-03-28,2025-04-11,Entregue,Fora do Prazo,35.0,21,,
194,2025-03-07,RCO SME,2025-03-17,2025-03-31,Entregue,Fora do Prazo,24.0,10,,
195,2025-03-07,RCO SME,2025-03-11,2025-03-25,Entregue,Fora do Prazo,18.0,4,,
196,2025-03-07,MUL,2025-03-17,2025-03-25,Entregue,Fora do Prazo,18.0,10,,
197,2025-03-07,CM2,2025-03-17,2025-03-25,Entregue,Fora do Prazo,18.0,10,,
198,2025-03-07,GPM GPM,2025-03-17,2025-03-25,Entregue,Fora do Prazo,18.0,10,,
199,2025-03-07,GPM GPM,2025-03-17,2025-03-25,Entregue,Fora do Prazo,18.0,10,,
200,2025-03-07,GPM GPM,2025-03-17,2025-03-25,Entregue,Fora do Prazo,18.0,10,,
201,2025-03-07,GPM GPM,2025-03-07,2025-03-13,Entregue,Fora do Prazo,6.0,0,,
202,2025-03-07,GPM GPM,2025-03-28,2025-03-20,Entregue,Dentro do prazo,13.0,21,,
203,2025-03-10,GPM GPM,2025-03-28,2025-04-22,Entregue,Fora do Prazo,43.0,18,,
204,2025-03-10,GPM GPM,2025-03-11,2025-03-31,Entregue,Fora do Prazo,21.0,1,,
205,2025-03-10,GPM GPM,2025-03-11,2025-03-31,Entregue,Fora do Prazo,21.0,1,,
206,2025-03-10,MJA,2025-03-11,2025-03-12,Entregue,Fora do Prazo,2.0,1,,
207,2025-03-10,MJA,2025-03-10,2025-03-14,Entregue,Fora do Prazo,4.0,0,,
208,2025-03-10,MJA,2025-03-10,2025-03-14,Entregue,Fora do Prazo,4.0,0,,
209,2025-03-10,MJA,2025-03-10,2025-03-14,Entregue,Fora do Prazo,4.0,0,,
210,2025-03-11,MJA,2025-03-28,2025-04-02,Entregue,Fora do Prazo,22.0,17,,
211,2025-03-11,MJA,2025-03-28,2025-04-22,Entregue,Fora do Prazo,42.0,17,,
212,2025-03-11,MJA,2025-03-28,2025-05-14,Entregue,Fora do Prazo,64.0,17,,
213,2025-03-11,MJA,2025-03-28,2025-05-14,Entregue,Fora do Prazo,64.0,17,,
214,2025-03-11,PB,2025-03-11,2025-03-20,Entregue,Fora do Prazo,9.0,0,,
215,2025-03-12,PB,2025-03-12,2025-03-14,Entregue,Fora do Prazo,2.0,0,,
216,2025-03-12,PB,2025-03-12,2025-03-28,Entregue,Fora do Prazo,16.0,0,,
217,2025-03-12,PB,2025-03-12,2025-03-03,Entregue,Dentro do prazo,-9.0,0,,
218,2025-03-12,BCA,2025-03-12,2025-03-03,Entregue,Dentro do prazo,-9.0,0,,
219,2025-03-12,GPM GPM,2025-03-12,2025-04-04,Entregue,Fora do Prazo,23.0,0,,
220,2025-03-12,GPM GPM,2025-03-12,2025-03-14,Entregue,Fora do Prazo,2.0,0,,
221,2025-03-12,GPM GPM,2025-03-14,2025-03-31,Entregue,Fora do Prazo,19.0,2,,
222,2025-03-12,GPM GPM,2025-03-17,2025-03-31,Entregue,Fora do Prazo,19.0,5,,
223,2025-03-12,GPM GPM,2025-03-12,2025-04-10,Entregue,Fora do Prazo,29.0,0,,
224,2025-03-13,GPM GPM,2025-03-14,2025-03-31,Entregue,Fora do Prazo,18.0,1,,
225,2025-03-13,MUL,2025-03-14,2025-03-31,Entregue,Fora do Prazo,18.0,1,,
226,2025-03-13,MUL,2025-03-14,2025-03-31,Entregue,Fora do Prazo,18.0,1,,
227,2025-03-13,MUL,2025-03-14,2025-03-31,Entregue,Fora do Prazo,18.0,1,,
228,2025-03-13,MUL,2025-03-14,2025-03-31,Entregue,Fora do Prazo,18.0,1,,
229,2025-03-13,MUL,2025-03-14,2025-03-31,Entregue,Fora do Prazo,18.0,1,,
230,2025-03-13,MUL,2025-03-14,2025-03-31,Entregue,Fora do Prazo,18.0,1,,
231,2025-03-13,MUL,2025-03-14,2025-03-31,Entregue,Fora do Prazo,18.0,1,,
232,2025-03-13,MUL,2025-03-14,2025-03-31,Entregue,Fora do Prazo,18.0,1,,
233,2025-03-13,MUL,2025-03-14,2025-03-31,Entregue,Fora do Prazo,18.0,1,,
234,2025-03-13,MUL,2025-03-14,2025-03-31,Entregue,Fora do Prazo,18.0,1,,
235,2025-03-13,MUL,2025-03-14,2025-03-31,Entregue,Fora do Prazo,18.0,1,,
236,2025-03-13,MUL,2025-03-14,2025-04-10,Entregue,Fora do Prazo,28.0,1,,
237,2025-03-13,MUL,2025-03-14,2025-04-10,Entregue,Fora do Prazo,28.0,1,,
238,2025-03-13,MUL,2025-03-14,2025-04-10,Entregue,Fora do Prazo,28.0,1,,
239,2025-03-13,MUL,2025-03-14,2025-04-10,Entregue,Fora do Prazo,28.0,1,,
240,2025-03-13,MUL,2025-03-14,2025-04-10,Entregue,Fora do Prazo,28.0,1,,
241,2025-03-13,MUL,2025-03-14,2025-04-10,Entregue,Fora do Prazo,28.0,1,,
242,2025-03-13,DLCA,2025-03-14,2025-04-10,Entregue,Fora do Prazo,28.0,1,,
243,2025-03-13,DLCA,2025-03-14,2025-04-10,Entregue,Fora do Prazo,28.0,1,,
244,2025-03-13,VC,2025-03-14,2025-04-10,Entregue,Fora do Prazo,28.0,1,,
245,2025-03-13,KTCN,2025-03-14,2025-04-10,Entregue,Fora do Prazo,28.0,1,,
246,2025-03-13,KTCN,2025-03-14,2025-04-10,Entregue,Fora do Prazo,28.0,1,,
247,2025-03-13,KTCN,2025-03-19,2025-03-21,Entregue,Fora do Prazo,8.0,6,,
248,2025-03-13,TRE,2025-03-19,2025-03-21,Entregue,Fora do Prazo,8.0,6,,
249,2025-03-13,DSC,2025-03-19,2025-03-21,Entregue,Fora do Prazo,8.0,6,,
250,2025-03-13,BICIE,2025-03-19,2025-03-21,Entregue,Fora do Prazo,8.0,6,,
251,2025-03-13,PB,2025-03-19,2025-03-21,Entregue,Fora do Prazo,8.0,6,,
252,2025-03-13,STO,2025-03-19,2025-03-21,Entregue,Fora do Prazo,8.0,6,,
253,2025-03-13,PB,2025-03-19,2025-03-21,Entregue,Fora do Prazo,8.0,6,,
254,2025-03-13,CMMH,2025-03-19,2025-03-21,Entregue,Fora do Prazo,8.0,6,,
255,2025-03-13,BIP,2025-03-19,2025-03-21,Entregue,Fora do Prazo,8.0,6,,
256,2025-03-13,BM,2025-03-19,2025-03-21,Entregue,Fora do Prazo,8.0,6,,
257,2025-03-13,BM,2025-03-19,2025-03-21,Entregue,Fora do Prazo,8.0,6,,
258,2025-03-13,CHNS,2025-03-17,2025-04-10,Entregue,Fora do Prazo,28.0,4,,
259,2025-03-13,CHNS,2025-03-17,2025-04-10,Entregue,Fora do Prazo,28.0,4,,
260,2025-03-13,ACDMH,2025-03-17,2025-04-10,Entregue,Fora do Prazo,28.0,4,,
261,2025-03-13,DLCA,2025-03-17,2025-04-10,Entregue,Fora do Prazo,28.0,4,,
262,2025-03-13,DLCA,2025-03-17,2025-04-10,Entregue,Fora do Prazo,28.0,4,,
263,2025-03-13,DLCA,2025-03-17,2025-04-10,Entregue,Fora do Prazo,28.0,4,,
264,2025-03-13,ILC,2025-03-17,2025-04-10,Entregue,Fora do Prazo,28.0,4,,
265,2025-03-13,JOW,2025-03-17,2025-04-10,Entregue,Fora do Prazo,28.0,4,,
266,2025-03-13,JOW,2025-03-17,2025-04-10,Entregue,Fora do Prazo,28.0,4,,
267,2025-03-13,JOW,2025-03-17,2025-04-10,Entregue,Fora do Prazo,28.0,4,,
268,2025-03-13,STO,2025-03-17,2025-04-10,Entregue,Fora do Prazo,28.0,4,,
269,2025-03-13,GPM GPM,2025-03-13,2025-04-02,Entregue,Fora do Prazo,20.0,0,,
270,2025-03-14,MUL,2025-03-31,2025-04-09,Entregue,Fora do Prazo,26.0,17,,
271,2025-03-14,MUL,2025-03-31,2025-04-09,Entregue,Fora do Prazo,26.0,17,,
272,2025-03-14,PB,2025-03-31,2025-04-09,Entregue,Fora do Prazo,26.0,17,,
273,2025-03-14,GPM GPM,2025-03-14,2025-04-09,Entregue,Fora do Prazo,26.0,0,,
274,2025-03-14,GPM GPM,2025-03-31,2025-04-09,Entregue,Fora do Prazo,26.0,17,,
275,2025-03-14,GPM GPM,2025-03-20,2025-04-09,Entregue,Fora do Prazo,26.0,6,,
276,2025-03-14,GPM GPM,2025-03-31,2025-04-09,Entregue,Fora do Prazo,26.0,17,,
277,2025-03-14,GPM GPM,2025-03-31,2025-04-09,Entregue,Fora do Prazo,26.0,17,,
278,2025-03-14,GPM GPM,2025-03-31,2025-04-09,Entregue,Fora do Prazo,26.0,17,,
279,2025-03-14,GPM GPM,2025-03-15,2025-03-27,Entregue,Fora do Prazo,13.0,1,,
280,2025-03-14,GPM GPM,2025-03-15,2025-03-27,Entregue,Fora do Prazo,13.0,1,,
281,2025-03-14,GPM GPM,2025-03-15,2025-03-27,Entregue,Fora do Prazo,13.0,1,,
282,2025-03-14,PAS,2025-03-15,2025-03-27,Entregue,Fora do Prazo,13.0,1,,
283,2025-03-14,STO,2025-03-15,2025-03-27,Entregue,Fora do Prazo,13.0,1,,
284,2025-03-14,LCM,2025-03-15,2025-03-27,Entregue,Fora do Prazo,13.0,1,,
285,2025-03-14,RMF,2025-03-15,2025-03-27,Entregue,Fora do Prazo,13.0,1,,
286,2025-03-14,ACV,2025-03-24,2025-03-31,Entregue,Fora do Prazo,17.0,10,,
287,2025-03-14,ACV,2025-03-17,2025-03-31,Entregue,Fora do Prazo,17.0,3,,
293,2025-03-17,MDMEC,2025-03-17,2025-03-28,Entregue,Fora do Prazo,11.0,0,,
294,2025-03-17,RIC,2025-03-17,2025-04-03,Entregue,Fora do Prazo,17.0,0,,
295,2025-03-17,PIC,2025-03-17,2025-04-02,Entregue,Fora do Prazo,16.0,0,,
296,2025-03-17,PIC,2025-03-17,2025-04-02,Entregue,Fora do Prazo,16.0,0,,
297,2025-03-17,EST,2025-03-17,2025-04-02,Entregue,Fora do Prazo,16.0,0,,
298,2025-03-17,RIC,2025-03-17,2025-03-20,Entregue,Fora do Prazo,3.0,0,,
299,2025-03-17,RCSS,2025-03-17,2025-03-20,Entregue,Fora do Prazo,3.0,0,,
300,2025-03-17,BCA,2025-03-17,2025-03-20,Entregue,Fora do Prazo,3.0,0,,
301,2025-03-17,BCA,2025-03-17,2025-03-31,Entregue,Fora do Prazo,14.0,0,,
302,2025-03-17,BCA,2025-03-17,2025-05-02,Entregue,Fora do Prazo,46.0,0,,
303,2025-03-17,BCA,2025-03-17,2025-05-02,Entregue,Fora do Prazo,46.0,0,,
304,2025-03-17,BCA,2025-03-17,2025-05-02,Entregue,Fora do Prazo,46.0,0,,
305,2025-03-17,BICIE,2025-03-17,2025-05-02,Entregue,Fora do Prazo,46.0,0,,
306,2025-03-17,VCZ,2025-03-17,2025-05-02,Entregue,Fora do Prazo,46.0,0,,
307,2025-03-17,SRPA,2025-03-17,2025-05-02,Entregue,Fora do Prazo,46.0,0,,
308,2025-03-18,SRPA,2025-03-18,2025-02-28,Entregue,Dentro do prazo,-18.0,0,,
309,2025-03-18,SWA,2025-03-18,2025-02-28,Entregue,Dentro do prazo,-18.0,0,,
310,2025-03-18,SWA,2025-03-18,2025-02-28,Entregue,Dentro do prazo,-18.0,0,,
311,2025-03-18,SWA,2025-03-18,2025-02-28,Entregue,Dentro do prazo,-18.0,0,,
312,2025-03-18,BCA,2025-03-18,2025-02-28,Entregue,Dentro do prazo,-18.0,0,,
