Pedido,Data pedido,Fornecedor,Data prevista,Data entregue,Status da Entrega,Pontualidade
29,2025-02-22,STO,2025-02-28,2025-03-31,Entregue,Fora do Prazo
30,2025-02-22,STO,2025-02-28,2025-03-31,Entregue,Fora do Prazo
31,2025-02-22,FT,2025-02-28,2025-03-31,Entregue,Fora do Prazo
32,2025-02-22,PB,2025-02-28,2025-03-31,Entregue,Fora do Prazo
33,2025-02-22,MJA,2025-02-28,2025-03-31,Entregue,Fora do Prazo
34,2025-02-22,AEA,2025-02-28,2025-03-31,Entregue,Fora do Prazo
35,2025-02-22,AEA,2025-02-28,2025-03-01,Entregue,Fora do Prazo
36,2025-02-22,MJA,2025-02-28,2025-03-03,Entregue,Fora do Prazo
37,2025-02-24,RTPS,2025-02-28,2025-04-10,Entregue,Fora do Prazo
38,2025-02-24,WGA,2025-02-28,2025-04-10,Entregue,Fora do Prazo
39,2025-02-24,FT,2025-02-28,2025-04-10,Entregue,Fora do Prazo
40,2025-02-24,FT,2025-02-28,2025-04-10,Entregue,Fora do Prazo
41,2025-02-24,FT,2025-02-28,2025-04-10,Entregue,Fora do Prazo
42,2025-02-24,FT,2025-02-28,2025-04-10,Entregue,Fora do Prazo
43,2025-02-24,FT,2025-02-28,2025-04-10,Entregue,Fora do Prazo
44,2025-02-24,FT,2025-02-28,2025-04-10,Entregue,Fora do Prazo
45,2025-02-24,FT,2025-02-28,2025-04-10,Entregue,Fora do Prazo
46,2025-02-24,FT,2025-02-28,2025-04-10,Entregue,Fora do Prazo
47,2025-02-24,FT,2025-02-28,2025-04-10,Entregue,Fora do Prazo
48,2025-02-24,VC,2025-02-28,2025-04-10,Entregue,Fora do Prazo
49,2025-02-24,VC,2025-02-28,2025-04-10,Entregue,Fora do Prazo
50,2025-02-24,VC,2025-02-28,2025-04-10,Entregue,Fora do Prazo
51,2025-02-24,SAP,2025-02-28,2025-04-10,Entregue,Fora do Prazo
52,2025-02-24,TOD,2025-02-28,2025-04-10,Entregue,Fora do Prazo
53,2025-02-24,MJA,2025-02-28,2025-04-10,Entregue,Fora do Prazo
54,2025-02-24,AB,2025-02-28,2025-04-10,Entregue,Fora do Prazo
55,2025-02-24,STO,2025-02-28,2025-04-10,Entregue,Fora do Prazo
56,2025-02-24,PB,2025-03-17,2025-04-10,Entregue,Fora do Prazo
57,2025-02-24,JOW,2025-03-17,2025-04-10,Entregue,Fora do Prazo
58,2025-02-25,JOW,2025-03-01,2025-04-10,Entregue,Fora do Prazo
59,2025-02-25,JOW,2025-02-28,2025-03-31,Entregue,Fora do Prazo
60,2025-02-26,PB,2025-02-28,2025-03-31,Entregue,Fora do Prazo
61,2025-02-26,BFPS,2025-02-28,2025-03-31,Entregue,Fora do Prazo
62,2025-02-26,TOD,2025-02-28,2025-03-31,Entregue,Fora do Prazo
63,2025-02-26,TOD,2025-02-28,2025-03-31,Entregue,Fora do Prazo
64,2025-02-26,TOD,2025-02-28,2025-03-31,Entregue,Fora do Prazo
65,2025-02-26,AFE,2025-02-28,2025-03-31,Entregue,Fora do Prazo
66,2025-02-26,AFE,2025-02-28,2025-03-31,Entregue,Fora do Prazo
67,2025-02-26,FSS,2025-02-28,2025-03-31,Entregue,Fora do Prazo
68,2025-02-26,CM,2025-04-28,2025-04-27,Entregue,Dentro do prazo
69,2025-02-26,CIMDE,2025-04-28,2025-04-27,Entregue,Dentro do prazo
70,2025-02-26,MJA,2025-04-28,2025-04-27,Entregue,Dentro do prazo
71,2025-02-26,ACDMH,2025-04-28,2025-04-27,Entregue,Dentro do prazo
72,2025-02-26,VC,2025-04-30,2025-05-29,Entregue,Fora do Prazo
73,2025-02-26,PB,2025-05-30,,Não entregue,
74,2025-02-26,LCM,2025-06-30,,Não entregue,
75,2025-02-26,DLCA,2025-07-30,,Não entregue,
76,2025-02-26,DLCA,2025-04-30,2025-05-29,Entregue,Fora do Prazo
77,2025-02-26,DLCA,2025-05-30,,Não entregue,
78,2025-02-26,DLCA,2025-06-30,,Não entregue,
79,2025-02-26,JOW,2025-07-30,,Não entregue,
80,2025-02-26,CDMICT,2025-04-30,2025-05-29,Entregue,Fora do Prazo
81,2025-02-26,SWA,2025-04-30,2025-05-29,Entregue,Fora do Prazo
82,2025-02-26,JPM,2025-04-30,2025-05-29,Entregue,Fora do Prazo
83,2025-02-26,CM,2025-04-30,2025-05-29,Entregue,Fora do Prazo
84,2025-02-26,CM,2025-05-30,,Não entregue,
85,2025-02-26,CM,2025-06-30,,Não entregue,
86,2025-02-26,CM,2025-07-30,,Não entregue,
87,2025-02-26,CM,2025-04-30,2025-05-29,Entregue,Fora do Prazo
88,2025-02-26,DLCA,2025-05-30,,Não entregue,
89,2025-02-26,JPM,2025-06-30,,Não entregue,
90,2025-02-26,EMSPPA,2025-07-30,,Não entregue,
91,2025-02-26,EMSPPA,2025-04-30,2025-05-29,Entregue,Fora do Prazo
92,2025-02-26,SGB,2025-04-30,2025-05-29,Entregue,Fora do Prazo
93,2025-02-26,SGB,2025-05-30,,Não entregue,
94,2025-02-26,SGB,2025-06-30,,Não entregue,
95,2025-02-26,VC,2025-07-30,,Não entregue,
96,2025-02-26,CIDB,2025-04-30,2025-05-29,Entregue,Fora do Prazo
97,2025-02-26,MTLEC,2025-05-30,,Não entregue,
98,2025-02-26,WEPP,2025-06-30,,Não entregue,
99,2025-02-26,VC,2025-07-30,,Não entregue,
100,2025-02-26,MRFC,2025-04-30,2025-05-29,Entregue,Fora do Prazo
101,2025-02-26,RCSS,2025-04-30,2025-05-29,Entregue,Fora do Prazo
102,2025-02-26,OBIC,2025-05-30,,Não entregue,
103,2025-02-26,RCSS,2025-06-30,,Não entregue,
104,2025-02-26,RCSS,2025-07-30,,Não entregue,
105,2025-02-26,SRPA,2025-04-30,2025-05-29,Entregue,Fora do Prazo
106,2025-02-26,MCA,2025-05-30,,Não entregue,
107,2025-02-26,MCA,2025-06-30,,Não entregue,
108,2025-02-26,RCM,2025-07-30,,Não entregue,
109,2025-02-26,ALRT,2025-04-30,2025-05-29,Entregue,Fora do Prazo
110,2025-02-26,ALRT,2025-05-30,,Não entregue,
111,2025-02-26,ALRT,2025-06-30,,Não entregue,
112,2025-02-26,ALRT,2025-07-30,,Não entregue,
113,2025-02-27,RCM,2025-03-10,2025-03-31,Entregue,Fora do Prazo
114,2025-02-27,SWA2,2025-03-14,2025-04-07,Entregue,Fora do Prazo
115,2025-02-27,HHC,2025-02-28,2025-04-10,Entregue,Fora do Prazo
116,2025-02-27,CHNS,2025-02-28,2025-04-10,Entregue,Fora do Prazo
117,2025-02-27,CHNS,2025-02-28,2025-04-10,Entregue,Fora do Prazo
118,2025-02-27,EST,2025-02-28,2025-04-10,Entregue,Fora do Prazo
119,2025-02-27,EST,2025-02-28,2025-04-10,Entregue,Fora do Prazo
120,2025-02-27,EST,2025-02-28,2025-04-10,Entregue,Fora do Prazo
121,2025-02-27,EST,2025-02-28,2025-04-10,Entregue,Fora do Prazo
122,2025-02-27,VCZ,2025-02-28,2025-04-10,Entregue,Fora do Prazo
123,2025-02-27,MOLE,2025-02-28,2025-04-10,Entregue,Fora do Prazo
124,2025-02-27,VC,2025-02-28,2025-04-10,Entregue,Fora do Prazo
125,2025-02-27,HMC,2025-02-28,2025-04-10,Entregue,Fora do Prazo
126,2025-02-27,HMC,2025-02-28,2025-04-10,Entregue,Fora do Prazo
127,2025-02-27,HMC,2025-02-28,2025-04-10,Entregue,Fora do Prazo
128,2025-02-27,HMC,2025-02-28,2025-04-10,Entregue,Fora do Prazo
129,2025-02-27,HMC,2025-02-28,2025-04-10,Entregue,Fora do Prazo
130,2025-02-27,HMC,2025-02-28,2025-04-10,Entregue,Fora do Prazo
131,2025-02-28,HMC,2025-03-03,2025-04-02,Entregue,Fora do Prazo
132,2025-02-28,HMC,2025-03-03,2025-03-31,Entregue,Fora do Prazo
133,2025-02-28,HMC,2025-02-28,2025-03-31,Entregue,Fora do Prazo
134,2025-02-28,HMC,2025-03-03,2025-03-31,Entregue,Fora do Prazo
135,2025-02-28,MCA,2025-03-11,2025-04-17,Entregue,Fora do Prazo
136,2025-02-28,MCA,2025-03-11,2025-04-11,Entregue,Fora do Prazo
137,2025-02-28,MCA,2025-03-11,2025-04-17,Entregue,Fora do Prazo
138,2025-02-28,DLCA,2025-03-11,2025-04-17,Entregue,Fora do Prazo
139,2025-02-28,BIP,2025-03-11,2025-04-17,Entregue,Fora do Prazo
140,2025-02-28,BM,2025-03-11,2025-04-17,Entregue,Fora do Prazo
141,2025-02-28,BM,2025-03-11,2025-04-17,Entregue,Fora do Prazo
142,2025-02-28,KTCN,2025-03-11,2025-04-17,Entregue,Fora do Prazo
143,2025-02-28,KTCN,2025-03-11,2025-04-17,Entregue,Fora do Prazo
144,2025-02-28,CHNS,2025-03-11,2025-04-17,Entregue,Fora do Prazo
145,2025-02-28,RPCT,2025-03-11,2025-04-17,Entregue,Fora do Prazo
146,2025-02-28,RPCT,2025-03-11,2025-04-17,Entregue,Fora do Prazo
147,2025-02-28,RPCT,2025-03-11,2025-04-17,Entregue,Fora do Prazo
148,2025-02-28,RPCT,2025-03-11,2025-05-06,Entregue,Fora do Prazo
149,2025-02-28,RPCT,2025-03-11,2025-04-17,Entregue,Fora do Prazo
150,2025-02-28,RPCT,2025-03-17,2025-04-11,Entregue,Fora do Prazo
151,2025-02-28,AFE,2025-03-17,2025-04-11,Entregue,Fora do Prazo
152,2025-02-28,MJA,2025-03-17,2025-04-11,Entregue,Fora do Prazo
153,2025-02-28,MJA,2025-03-17,2025-04-11,Entregue,Fora do Prazo
154,2025-02-28,MJA,2025-03-17,2025-04-11,Entregue,Fora do Prazo
155,2025-02-28,MJA,2025-03-17,2025-04-11,Entregue,Fora do Prazo
156,2025-02-28,PB,2025-03-17,2025-04-11,Entregue,Fora do Prazo
157,2025-02-28,PB,2025-03-17,2025-04-11,Entregue,Fora do Prazo
158,2025-02-28,MOLE,2025-03-17,2025-04-11,Entregue,Fora do Prazo
159,2025-02-28,RAGS,2025-03-17,2025-04-11,Entregue,Fora do Prazo
160,2025-02-28,PB,2025-03-17,2025-04-11,Entregue,Fora do Prazo
161,2025-02-28,MR,2025-03-17,,Não entregue,
162,2025-02-28,MR,2025-03-17,2025-04-11,Entregue,Fora do Prazo
163,2025-02-28,MR,2025-03-17,2025-04-11,Entregue,Fora do Prazo
164,2025-02-28,MR,2025-03-17,2025-04-11,Entregue,Fora do Prazo
165,2025-02-28,SGB,2025-03-17,2025-04-11,Entregue,Fora do Prazo
166,2025-02-28,SRPA,2025-03-17,2025-04-11,Entregue,Fora do Prazo
167,2025-03-03,SRPA,2025-03-17,2025-04-02,Entregue,Fora do Prazo
168,2025-03-03,SRPA,2025-03-17,2025-04-07,Entregue,Fora do Prazo
169,2025-03-03,SRPA,2025-03-05,2025-03-05,Entregue,Dentro do prazo
170,2025-03-03,MCA,2025-03-05,2025-03-14,Entregue,Fora do Prazo
171,2025-03-03,SRPA,2025-03-05,2025-03-05,Entregue,Dentro do prazo
172,2025-03-06,SRPA,2025-03-14,2025-03-14,Entregue,Dentro do prazo
173,2025-03-06,SRPA,2025-03-06,2025-03-31,Entregue,Fora do Prazo
174,2025-03-06,JMCT,2025-03-06,2025-03-31,Entregue,Fora do Prazo
175,2025-03-06,WCI,2025-03-06,2025-05-02,Entregue,Fora do Prazo
176,2025-03-06,WCI,2025-03-06,2025-05-02,Entregue,Fora do Prazo
177,2025-03-06,WCI,2025-03-06,2025-05-02,Entregue,Fora do Prazo
178,2025-03-07,WCI,2025-03-28,2025-04-11,Entregue,Fora do Prazo
179,2025-03-07,VCZ,2025-03-28,2025-04-11,Entregue,Fora do Prazo
180,2025-03-07,DCD,2025-03-28,2025-04-11,Entregue,Fora do Prazo
181,2025-03-07,VC,2025-03-28,2025-04-11,Entregue,Fora do Prazo
182,2025-03-07,VTA,2025-03-28,2025-04-11,Entregue,Fora do Prazo
183,2025-03-07,VC,2025-03-28,2025-04-11,Entregue,Fora do Prazo
184,2025-03-07,MJA,2025-03-28,2025-04-11,Entregue,Fora do Prazo
185,2025-03-07,MJA,2025-03-28,2025-04-11,Entregue,Fora do Prazo
186,2025-03-07,SVGM,2025-03-28,2025-04-11,Entregue,Fora do Prazo
187,2025-03-07,SVGM,2025-03-28,2025-04-11,Entregue,Fora do Prazo
188,2025-03-07,SVGM,2025-03-28,2025-04-11,Entregue,Fora do Prazo
189,2025-03-07,LNCE,2025-03-28,2025-04-11,Entregue,Fora do Prazo
190,2025-03-07,PMIC,2025-03-28,2025-04-11,Entregue,Fora do Prazo
191,2025-03-07,MJA,2025-03-28,2025-04-11,Entregue,Fora do Prazo
192,2025-03-07,PMIC,2025-03-28,2025-04-11,Entregue,Fora do Prazo
193,2025-03-07,RCO SME,2025-03-28,2025-04-11,Entregue,Fora do Prazo
194,2025-03-07,RCO SME,2025-03-17,2025-03-31,Entregue,Fora do Prazo
195,2025-03-07,RCO SME,2025-03-11,2025-03-25,Entregue,Fora do Prazo
196,2025-03-07,MUL,2025-03-17,2025-03-25,Entregue,Fora do Prazo
197,2025-03-07,CM2,2025-03-17,2025-03-25,Entregue,Fora do Prazo
198,2025-03-07,GPM GPM,2025-03-17,2025-03-25,Entregue,Fora do Prazo
199,2025-03-07,GPM GPM,2025-03-17,2025-03-25,Entregue,Fora do Prazo
200,2025-03-07,GPM GPM,2025-03-17,2025-03-25,Entregue,Fora do Prazo
201,2025-03-07,GPM GPM,2025-03-07,2025-03-13,Entregue,Fora do Prazo
202,2025-03-07,GPM GPM,2025-03-28,2025-03-20,Entregue,Dentro do prazo
203,2025-03-10,GPM GPM,2025-03-28,2025-04-22,Entregue,Fora do Prazo
204,2025-03-10,GPM GPM,2025-03-11,2025-03-31,Entregue,Fora do Prazo
205,2025-03-10,GPM GPM,2025-03-11,2025-03-31,Entregue,Fora do Prazo
206,2025-03-10,MJA,2025-03-11,2025-03-12,Entregue,Fora do Prazo
207,2025-03-10,MJA,2025-03-10,2025-03-14,Entregue,Fora do Prazo
208,2025-03-10,MJA,2025-03-10,2025-03-14,Entregue,Fora do Prazo
209,2025-03-10,MJA,2025-03-10,2025-03-14,Entregue,Fora do Prazo
210,2025-03-11,MJA,2025-03-28,2025-04-02,Entregue,Fora do Prazo
211,2025-03-11,MJA,2025-03-28,2025-04-22,Entregue,Fora do Prazo
212,2025-03-11,MJA,2025-03-28,2025-05-14,Entregue,Fora do Prazo
213,2025-03-11,MJA,2025-03-28,2025-05-14,Entregue,Fora do Prazo
214,2025-03-11,PB,2025-03-11,2025-03-20,Entregue,Fora do Prazo
215,2025-03-12,PB,2025-03-12,2025-03-14,Entregue,Fora do Prazo
216,2025-03-12,PB,2025-03-12,2025-03-28,Entregue,Fora do Prazo
217,2025-03-12,PB,2025-03-12,2025-03-03,Entregue,Dentro do prazo
218,2025-03-12,BCA,2025-03-12,2025-03-03,Entregue,Dentro do prazo
219,2025-03-12,GPM GPM,2025-03-12,2025-04-04,Entregue,Fora do Prazo
220,2025-03-12,GPM GPM,2025-03-12,2025-03-14,Entregue,Fora do Prazo
221,2025-03-12,GPM GPM,2025-03-14,2025-03-31,Entregue,Fora do Prazo
222,2025-03-12,GPM GPM,2025-03-17,2025-03-31,Entregue,Fora do Prazo
223,2025-03-12,GPM GPM,2025-03-12,2025-04-10,Entregue,Fora do Prazo
224,2025-03-13,GPM GPM,2025-03-14,2025-03-31,Entregue,Fora do Prazo
225,2025-03-13,MUL,2025-03-14,2025-03-31,Entregue,Fora do Prazo
226,2025-03-13,MUL,2025-03-14,2025-03-31,Entregue,Fora do Prazo
227,2025-03-13,MUL,2025-03-14,2025-03-31,Entregue,Fora do Prazo
228,2025-03-13,MUL,2025-03-14,2025-03-31,Entregue,Fora do Prazo
229,2025-03-13,MUL,2025-03-14,2025-03-31,Entregue,Fora do Prazo
230,2025-03-13,MUL,2025-03-14,2025-03-31,Entregue,Fora do Prazo
231,2025-03-13,MUL,2025-03-14,2025-03-31,Entregue,Fora do Prazo
232,2025-03-13,MUL,2025-03-14,2025-03-31,Entregue,Fora do Prazo
233,2025-03-13,MUL,2025-03-14,2025-03-31,Entregue,Fora do Prazo
234,2025-03-13,MUL,2025-03-14,2025-03-31,Entregue,Fora do Prazo
235,2025-03-13,MUL,2025-03-14,2025-03-31,Entregue,Fora do Prazo
236,2025-03-13,MUL,2025-03-14,2025-04-10,Entregue,Fora do Prazo
237,2025-03-13,MUL,2025-03-14,2025-04-10,Entregue,Fora do Prazo
238,2025-03-13,MUL,2025-03-14,2025-04-10,Entregue,Fora do Prazo
239,2025-03-13,MUL,2025-03-14,2025-04-10,Entregue,Fora do Prazo
240,2025-03-13,MUL,2025-03-14,2025-04-10,Entregue,Fora do Prazo
241,2025-03-13,MUL,2025-03-14,2025-04-10,Entregue,Fora do Prazo
242,2025-03-13,DLCA,2025-03-14,2025-04-10,Entregue,Fora do Prazo
243,2025-03-13,DLCA,2025-03-14,2025-04-10,Entregue,Fora do Prazo
244,2025-03-13,VC,2025-03-14,2025-04-10,Entregue,Fora do Prazo
245,2025-03-13,KTCN,2025-03-14,2025-04-10,Entregue,Fora do Prazo
246,2025-03-13,KTCN,2025-03-14,2025-04-10,Entregue,Fora do Prazo
247,2025-03-13,KTCN,2025-03-19,2025-03-21,Entregue,Fora do Prazo
248,2025-03-13,TRE,2025-03-19,2025-03-21,Entregue,Fora do Prazo
249,2025-03-13,DSC,2025-03-19,2025-03-21,Entregue,Fora do Prazo
250,2025-03-13,BICIE,2025-03-19,2025-03-21,Entregue,Fora do Prazo
251,2025-03-13,PB,2025-03-19,2025-03-21,Entregue,Fora do Prazo
252,2025-03-13,STO,2025-03-19,2025-03-21,Entregue,Fora do Prazo
253,2025-03-13,PB,2025-03-19,2025-03-21,Entregue,Fora do Prazo
254,2025-03-13,CMMH,2025-03-19,2025-03-21,Entregue,Fora do Prazo
255,2025-03-13,BIP,2025-03-19,2025-03-21,Entregue,Fora do Prazo
256,2025-03-13,BM,2025-03-19,2025-03-21,Entregue,Fora do Prazo
257,2025-03-13,BM,2025-03-19,2025-03-21,Entregue,Fora do Prazo
258,2025-03-13,CHNS,2025-03-17,2025-04-10,Entregue,Fora do Prazo
259,2025-03-13,CHNS,2025-03-17,2025-04-10,Entregue,Fora do Prazo
260,2025-03-13,ACDMH,2025-03-17,2025-04-10,Entregue,Fora do Prazo
261,2025-03-13,DLCA,2025-03-17,2025-04-10,Entregue,Fora do Prazo
262,2025-03-13,DLCA,2025-03-17,2025-04-10,Entregue,Fora do Prazo
263,2025-03-13,DLCA,2025-03-17,2025-04-10,Entregue,Fora do Prazo
264,2025-03-13,ILC,2025-03-17,2025-04-10,Entregue,Fora do Prazo
265,2025-03-13,JOW,2025-03-17,2025-04-10,Entregue,Fora do Prazo
266,2025-03-13,JOW,2025-03-17,2025-04-10,Entregue,Fora do Prazo
267,2025-03-13,JOW,2025-03-17,2025-04-10,Entregue,Fora do Prazo
268,2025-03-13,STO,2025-03-17,2025-04-10,Entregue,Fora do Prazo
269,2025-03-13,GPM GPM,2025-03-13,2025-04-02,Entregue,Fora do Prazo
270,2025-03-14,MUL,2025-03-31,2025-04-09,Entregue,Fora do Prazo
271,2025-03-14,MUL,2025-03-31,2025-04-09,Entregue,Fora do Prazo
272,2025-03-14,PB,2025-03-31,2025-04-09,Entregue,Fora do Prazo
273,2025-03-14,GPM GPM,2025-03-14,2025-04-09,Entregue,Fora do Prazo
274,2025-03-14,GPM GPM,2025-03-31,2025-04-09,Entregue,Fora do Prazo
275,2025-03-14,GPM GPM,2025-03-20,2025-04-09,Entregue,Fora do Prazo
276,2025-03-14,GPM GPM,2025-03-31,2025-04-09,Entregue,Fora do Prazo
277,2025-03-14,GPM GPM,2025-03-31,2025-04-09,Entregue,Fora do Prazo
278,2025-03-14,GPM GPM,2025-03-31,2025-04-09,Entregue,Fora do Prazo
279,2025-03-14,GPM GPM,2025-03-15,2025-03-27,Entregue,Fora do Prazo
280,2025-03-14,GPM GPM,2025-03-15,2025-03-27,Entregue,Fora do Prazo
281,2025-03-14,GPM GPM,2025-03-15,2025-03-27,Entregue,Fora do Prazo
282,2025-03-14,PAS,2025-03-15,2025-03-27,Entregue,Fora do Prazo
283,2025-03-14,STO,2025-03-15,2025-03-27,Entregue,Fora do Prazo
284,2025-03-14,LCM,2025-03-15,2025-03-27,Entregue,Fora do Prazo
285,2025-03-14,RMF,2025-03-15,2025-03-27,Entregue,Fora do Prazo
286,2025-03-14,ACV,2025-03-24,2025-03-31,Entregue,Fora do Prazo
287,2025-03-14,ACV,2025-03-17,2025-03-31,Entregue,Fora do Prazo
288,2025-03-14,VC,2025-03-14,,Não entregue,
289,2025-03-14,VC,2025-03-14,,Não entregue,
290,2025-03-14,ACV,2025-03-14,,Não entregue,
291,2025-03-14,STO,2025-03-14,,Não entregue,
292,2025-03-14,STO,2025-03-14,,Não entregue,
293,2025-03-17,MDMEC,2025-03-17,2025-03-28,Entregue,Fora do Prazo
294,2025-03-17,RIC,2025-03-17,2025-04-03,Entregue,Fora do Prazo
295,2025-03-17,PIC,2025-03-17,2025-04-02,Entregue,Fora do Prazo
296,2025-03-17,PIC,2025-03-17,2025-04-02,Entregue,Fora do Prazo
297,2025-03-17,EST,2025-03-17,2025-04-02,Entregue,Fora do Prazo
298,2025-03-17,RIC,2025-03-17,2025-03-20,Entregue,Fora do Prazo
299,2025-03-17,RCSS,2025-03-17,2025-03-20,Entregue,Fora do Prazo
300,2025-03-17,BCA,2025-03-17,2025-03-20,Entregue,Fora do Prazo
301,2025-03-17,BCA,2025-03-17,2025-03-31,Entregue,Fora do Prazo
302,2025-03-17,BCA,2025-03-17,2025-05-02,Entregue,Fora do Prazo
303,2025-03-17,BCA,2025-03-17,2025-05-02,Entregue,Fora do Prazo
304,2025-03-17,BCA,2025-03-17,2025-05-02,Entregue,Fora do Prazo
305,2025-03-17,BICIE,2025-03-17,2025-05-02,Entregue,Fora do Prazo
306,2025-03-17,VCZ,2025-03-17,2025-05-02,Entregue,Fora do Prazo
307,2025-03-17,SRPA,2025-03-17,2025-05-02,Entregue,Fora do Prazo
308,2025-03-18,SRPA,2025-03-18,2025-02-28,Entregue,Dentro do prazo
309,2025-03-18,SWA,2025-03-18,2025-02-28,Entregue,Dentro do prazo
310,2025-03-18,SWA,2025-03-18,2025-02-28,Entregue,Dentro do prazo
311,2025-03-18,SWA,2025-03-18,2025-02-28,Entregue,Dentro do prazo
312,2025-03-18,BCA,2025-03-18,2025-02-28,Entregue,Dentro do prazo
313,2025-03-18,ENICA,2025-03-21,2025-03-28,Entregue,Fora do Prazo
314,2025-03-18,TOD,2025-04-17,,Não entregue,
315,2025-03-18,TOD,2025-03-18,2025-03-28,Entregue,Fora do Prazo
316,2025-03-18,TOD,2025-03-28,2025-04-03,Entregue,Fora do Prazo
317,2025-03-18,TOD,2025-03-18,2025-04-03,Entregue,Fora do Prazo
318,2025-03-18,TOD,2025-03-18,2025-03-31,Entregue,Fora do Prazo
319,2025-03-19,HMC,2025-03-19,2025-04-02,Entregue,Fora do Prazo
320,2025-03-19,RCM,2025-03-19,2025-04-02,Entregue,Fora do Prazo
321,2025-03-19,SWA,2025-03-19,2025-04-02,Entregue,Fora do Prazo
322,2025-03-19,SWA,2025-03-19,2025-04-02,Entregue,Fora do Prazo
323,2025-03-19,SWA,2025-03-19,2025-04-02,Entregue,Fora do Prazo
324,2025-03-19,MOLE,2025-03-19,2025-04-02,Entregue,Fora do Prazo
325,2025-03-19,MOLE,2025-03-19,2025-04-09,Entregue,Fora do Prazo
326,2025-03-19,MJA,2025-03-19,2025-04-09,Entregue,Fora do Prazo
327,2025-03-19,TOD,2025-03-19,2025-04-09,Entregue,Fora do Prazo
328,2025-03-19,MUL,2025-03-19,2025-04-09,Entregue,Fora do Prazo
329,2025-03-19,PB,2025-03-19,2025-04-03,Entregue,Fora do Prazo
330,2025-03-19,PB,2025-03-19,2025-04-03,Entregue,Fora do Prazo
331,2025-03-19,PB,2025-03-19,2025-04-03,Entregue,Fora do Prazo
332,2025-03-19,PIN,2025-03-19,2025-04-03,Entregue,Fora do Prazo
333,2025-03-19,PB,2025-03-19,2025-04-03,Entregue,Fora do Prazo
334,2025-03-19,DCS,2025-03-19,2025-04-03,Entregue,Fora do Prazo
335,2025-03-19,MJA,2025-03-19,2025-04-03,Entregue,Fora do Prazo
336,2025-03-19,MJA,2025-03-19,2025-04-03,Entregue,Fora do Prazo
337,2025-03-19,TOD,2025-03-19,2025-04-03,Entregue,Fora do Prazo
338,2025-03-19,JPM,2025-03-19,2025-03-19,Entregue,Dentro do prazo
339,2025-03-19,MJA,2025-03-31,2025-04-10,Entregue,Fora do Prazo
340,2025-03-19,VC,2025-03-31,2025-04-10,Entregue,Fora do Prazo
341,2025-03-20,ALRT,2025-03-20,2025-04-10,Entregue,Fora do Prazo
342,2025-03-20,ALRT,2025-04-30,2025-04-09,Entregue,Dentro do prazo
343,2025-03-20,ALRT,2025-04-30,2025-05-05,Entregue,Fora do Prazo
344,2025-03-20,ALRT,2025-03-20,2025-04-02,Entregue,Fora do Prazo
345,2025-03-20,ALRT,2025-03-20,2025-04-02,Entregue,Fora do Prazo
346,2025-03-20,ALRT,2025-03-20,2025-04-02,Entregue,Fora do Prazo
347,2025-03-20,ALRT,2025-03-20,2025-04-02,Entregue,Fora do Prazo
